max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
0,62,0.9817477042468105,0.5,0.25,True,0.20037880412051667,0,1,zeta9-householder,1.9367468357086182,False
0,63,0.9974556675147594,0.5,0.25,True,0.21145652957914238,0,1,zeta9-householder,1.9278316497802734,False
0,64,1.0131636307827083,0.5,0.25,True,0.2225309941164977,0,1,zeta9-householder,2.0358424186706543,False
0,65,1.0288715940506574,0.5,0.25,True,0.2336020269506401,0,1,zeta9-householder,1.980698823928833,False
0,66,1.0445795573186063,0.5,0.25,True,0.24466945735254725,0,1,zeta9-householder,1.933835744857788,False
0,67,1.0602875205865552,0.5,0.25,True,0.23729157911767876,0,1,zeta9-householder,1.9856657981872559,False
0,68,1.0759954838545043,0.5,0.25,True,0.22622172812707927,0,1,zeta9-householder,1.6312847137451172,False
0,69,1.0917034471224532,0.5,0.25,True,0.21514838851758278,0,1,zeta9-householder,1.983278751373291,False
0,70,1.1074114103904023,0.5,0.25,True,0.20407173105378404,0,1,zeta9-householder,1.9948041439056396,False
0,71,1.1231193736583511,0.5,0.25,True,0.19299192655144373,0,1,zeta9-householder,2.026782751083374,False
0,72,1.1388273369263,0.5,0.25,True,0.1819091458748537,0,1,zeta9-householder,1.9378573894500732,False
0,73,1.154535300194249,0.5,0.25,True,0.1708235599342018,0,1,zeta9-householder,1.9837040901184082,False
0,74,1.170243263462198,0.5,0.25,True,0.15973533968293713,0,1,zeta9-householder,1.932751178741455,False
0,75,1.185951226730147,0.5,0.25,True,0.14864465611513236,0,1,zeta9-householder,1.9827630519866943,False
0,76,1.201659189998096,0.5,0.25,True,0.13755168026284825,0,1,zeta9-householder,2.0306079387664795,False
0,77,1.2173671532660448,0.5,0.25,True,0.12645658319349495,0,1,zeta9-householder,1.9827463626861572,False
0,78,1.233075116533994,0.5,0.25,True,0.11535953600719448,0,1,zeta9-householder,1.6757380962371826,False
0,79,1.2487830798019428,0.5,0.25,True,0.10426070983414244,0,1,zeta9-householder,1.8827235698699951,False
0,80,1.264491043069892,0.5,0.25,True,0.0931602758319679,0,1,zeta9-householder,1.9769978523254395,False
0,81,1.2801990063378408,0.5,0.25,True,0.08205840518309544,0,1,zeta9-householder,1.9868569374084473,False
0,82,1.2959069696057899,0.5,0.25,True,0.0709552690921039,0,1,zeta9-householder,2.0326645374298096,False
0,83,1.3116149328737388,0.5,0.25,True,0.05985103878308733,0,1,zeta9-householder,1.937774896621704,False
0,84,1.3273228961416876,0.5,0.25,True,0.0487458854970133,0,1,zeta9-householder,1.927389144897461,False
0,85,1.3430308594096367,0.5,0.25,True,0.03763998048908345,0,1,zeta9-householder,2.030057430267334,False
0,86,1.3587388226775856,0.5,0.25,True,0.0265334950260915,0,1,zeta9-householder,1.8740627765655518,False
0,87,1.3744467859455347,0.5,0.25,True,0.015426600383782648,0,1,zeta9-householder,1.9816951751708984,False
0,88,1.3901547492134836,0.5,0.25,True,0.004319467844212557,0,1,zeta9-householder,1.628345251083374,False
0,89,1.4058627124814325,0.5,0.25,True,0.0067877313068952045,0,1,zeta9-householder,1.9848246574401855,False
0,90,1.4215706757493816,0.5,0.25,True,0.017894825782789517,0,1,zeta9-householder,2.032930612564087,False
0,91,1.4372786390173304,0.5,0.25,True,0.029001644298333185,0,1,zeta9-householder,1.9809930324554443,False
0,92,1.4529866022852795,0.5,0.25,True,0.04010801557264518,0,1,zeta9-householder,1.9832894802093506,False
0,93,1.4686945655532284,0.5,0.25,True,0.051213768331741016,0,1,zeta9-householder,2.0337400436401367,False
0,94,1.4844025288211773,0.5,0.25,True,0.06231873131117463,0,1,zeta9-householder,1.9795398712158203,False
0,95,1.5001104920891264,0.5,0.25,True,0.07342273325867958,0,1,zeta9-householder,1.9800441265106201,False
0,96,1.5158184553570753,0.5,0.25,True,0.08452560293680943,0,1,zeta9-householder,2.028771162033081,False
0,97,1.5315264186250244,0.5,0.25,True,0.09562716912557898,0,1,zeta9-householder,1.9837381839752197,False
0,98,1.5472343818929732,0.5,0.25,True,0.10672726062510385,0,1,zeta9-householder,1.7287030220031738,False
0,99,1.5629423451609221,0.5,0.25,True,0.11782570625824222,0,1,zeta9-householder,1.9905428886413574,False
