# angle target_eps D_gates eps_diff_val result
0.7978582885 1 0 0.560437 Success
0.8053918441 1 0 0.565658 Success
0.8062251559 0.0001 12 2.04177e-05 Success
0.8208114644 1 0 0.576337 Success
0.8365723755 1 0 0.587243 Success
0.8487365869 0.0001 12 8.83681e-06 Success
0.8497218241 0.1 3 0.0146134 Success
0.8519449608 0.1 4 0.0147768 Success
0.8574659053 1 0 0.601687 Success
0.8711686845 0.0001 12 5.43686e-05 Success
0.8731613201 0.01 8 0.000633904 Success
0.8814027759 0.1 4 0.0272724 Success
0.8836282437 0.01 8 0.00119731 Success
0.8838976956 0.0001 12 1.44811e-05 Success
0.8883628625 0.01 8 0.000897379 Success
0.8984100814 0.1 4 0.0291467 Success
0.9106622559 1 0 0.638387 Success
0.9274273907 0.01 8 0.000584278 Success
0.9307778198 0.1 4 0.0190943 Success
0.9316101244 1 0 0.652808 Success
0.9322885548 1 0 0.653275 Success
0.9341738430 0.001 12 1.21704e-05 Success
0.9349404142 0.1 4 0.0194225 Success
0.9435805532 0.001 8 0.000368558 Success
0.9449343859 0.1 4 0.0218486 Success
0.9529994167 0.01 8 0.000183571 Success
0.9532180198 1 0 0.667665 Success
0.9580214045 0.1 4 0.0275221 Success
0.9622840955 0.0001 12 5.15617e-05 Success
0.9662302643 1 0 0.676603 Success
0.9691572057 0.1 4 0.0278411 Success
0.9774903192 0.001 8 0.000891768 Success
0.9787750297 0.0001 8 1.94615e-05 Success
0.9990808893 0.1 4 0.0212053 Success
1.0025867037 0.1 4 0.0216166 Success
1.0047285160 0.1 4 0.0220006 Success
1.0099337782 0.001 12 3.1306e-05 Success
1.0103292342 0.1 4 0.0195123 Success
1.0210072869 1 0 0.714147 Success
1.0243185815 0.0001 12 2.91096e-05 Success
1.0567123854 0.01 8 0.00098709 Success
1.0930574674 0.001 8 0.000846384 Success
1.0963506862 0.001 8 0.000625667 Success
1.1101167146 0.0001 12 3.75654e-05 Success
1.1111544567 0.1 4 0.0275659 Success
1.1276255918 0.001 8 0.000716144 Success
1.1367765701 0.001 8 0.000462464 Success
1.1513226440 0.01 8 0.000671658 Success
1.1710365660 0.001 12 3.02148e-05 Success
1.1847941607 0.1 4 0.0237693 Success
1.1976099089 0.01 8 0.000498378 Success
1.1979780925 1 0 0.834491 Success
1.2159295976 0.0001 12 4.3732e-05 Success
1.2260683542 1 0 0.853449 Success
1.2265679174 0.0001 12 4.76648e-05 Success
1.2512439104 0.01 8 0.000808646 Success
1.2539213716 0.1 4 0.0238396 Success
1.2563998087 1 0 0.873872 Success
1.2662918332 0.001 8 0.000527007 Success
1.2681205057 1 0 0.881751 Success
1.2833437827 0.001 12 3.38256e-05 Success
1.3022610528 1 0 0.904657 Success
1.3031147160 0.0001 12 1.17815e-05 Success
1.3072112948 0.001 8 0.000770791 Success
1.3267606926 0.001 12 2.9878e-05 Success
1.3302151249 0.001 8 0.000613662 Success
1.3413750160 0.0001 12 4.90195e-05 Success
1.3521415474 0.1 1 0.0311982 Success
1.3636755790 0.01 8 0.000376637 Success
1.3691068687 0.0001 12 3.98871e-05 Success
1.3898006663 0.01 1 0.00456984 Success
1.3985441685 1 0 0.968894 Success
1.4001231414 0.01 1 0.00272925 Success
1.4033159111 0.1 1 0.00498687 Success
1.4067559454 1 0 0.974348 Success
1.4196480009 0.1 1 0.0165353 Success
1.4301270631 0.01 8 0.00109961 Success
1.4391442992 0.1 1 0.0303208 Success
1.4537664741 0.0001 12 5.19063e-05 Success
1.4749031570 0.1 1 0.0556031 Success
1.4842351473 0.001 12 1.47324e-05 Success
1.4850327156 0.01 8 0.000958961 Success
1.4916135407 0.1 1 0.0674163 Success
1.4926344958 0.01 8 0.000501947 Success
1.5026533064 0.001 8 0.000605703 Success
1.5083127542 0.1 1 0.0792205 Success
1.5117107786 0.01 8 7.59263e-05 Success
1.5211698372 0.01 7 0.00070852 Success
1.5212586583 0.0001 12 3.15595e-05 Success
1.5218929701 0.01 8 0.000715862 Success
1.5223672671 0.0001 12 2.33656e-05 Success
1.5246179512 0.01 8 0.000375284 Success
1.5296196645 0.01 8 0.000905947 Success
1.5316145223 0.001 8 0.000908699 Success
1.5368222473 1 1 0.0993697 Success
1.5368830754 1 1 0.0994126 Success
1.5399112683 1 1 0.101553 Success
1.5487827159 0.1 4 0.0230978 Success
1.5576035011 0.0001 12 5.44842e-05 Success
1.5633881601 0.01 8 0.00109061 Success
1.5701797610 0.0001 12 1.95068e-05 Success
